Region/Country/Area,,Year,Series,Value,Footnotes,Source
756,Switzerland,2010,Land area (thousand hectares),3951.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2010,Arable land (thousand hectares),404.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2010,Permanent crops (thousand hectares),24,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2010,Forest cover (thousand hectares),1235,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2010,Arable land (% of total land area),10.2364,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2010,Permanent crops (% of total land area),0.6073,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2010,Forest cover (% of total land area),31.2532,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),35.2919,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
756,Switzerland,2017,Land area (thousand hectares),3951.603,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2017,Arable land (thousand hectares),398.184,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2017,Permanent crops (thousand hectares),24.9045,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2017,Forest cover (thousand hectares),1254,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2017,Arable land (% of total land area),10.0765,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2017,Permanent crops (% of total land area),0.6302,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2017,Forest cover (% of total land area),31.734,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
756,Switzerland,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),35.4815,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
756,Switzerland,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),35.4815,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
760,Syrian Arab Republic,2005,Land area (thousand hectares),18357,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2005,Arable land (thousand hectares),4675,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2005,Permanent crops (thousand hectares),887,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2005,Forest cover (thousand hectares),461,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2005,Arable land (% of total land area),25.4671,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2005,Permanent crops (% of total land area),4.8319,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2005,Forest cover (% of total land area),2.5113,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
